"bill_id","sponsor_party","session","num_cosponsors","num_d_cosponsors","num_r_cosponsors","title_word_count","originating_committee","day.of.week.introduced","num_amendments","status","is_sponsor_in_leadership","num_originating_committee_cosponsors","num_originating_committee_cosponsors_r","num_originating_committee_cosponsors_d"
"202","HB-1570-2009-2010","Democratic","2009-2010",28,14,14,36,"PAC000001",1,0,"committee:referred",0,1,1,0
"203","HB-630-2009-2010","Republican","2009-2010",71,24,47,27,"PAC000016",4,0,"committee:referred",0,6,4,2
"204","HB-1831-2009-2010","Democratic","2009-2010",14,9,5,21,"PAC000007",1,1,"committee:referred",0,3,2,1
"205","HB-1211-2009-2010","Democratic","2009-2010",41,34,7,22,"PAC000004",2,1,"committee:referred",0,3,0,3
"206","HB-961-2009-2010","Democratic","2009-2010",46,29,17,37,"PAC000010",2,1,"governor:signed",0,3,1,2
"207","HB-117-2009-2010","Republican","2009-2010",17,3,14,18,"PAC000001",5,0,"committee:referred",0,3,3,0
"208","HB-1669-2009-2010","Democratic","2009-2010",6,5,1,32,"PAC000017",5,0,"committee:referred",0,0,0,0
"209","HB-2124-2009-2010","Democratic","2009-2010",6,6,0,62,"PAC000017",3,0,"committee:referred",0,0,0,0
"210","HB-2521-2009-2010","Democratic","2009-2010",22,18,4,8,"PAC000129",3,1,"governor:signed",0,9,4,5
"211","HB-2762-2009-2010","Democratic","2009-2010",14,11,3,15,"PAC000129",1,0,"committee:referred",0,1,0,1
"212","HB-158-2009-2010","Democratic","2009-2010",22,17,5,33,"",5,0,"committee:referred",0,0,0,0
"213","HB-1800-2009-2010","Republican","2009-2010",42,10,32,21,"PAC000001",2,4,"committee:referred",0,2,2,0
"214","HB-952-2009-2010","","2009-2010",47,11,36,15,"PAC000012",2,0,"committee:referred",0,3,2,1
"215","HB-567-2009-2010","Republican","2009-2010",35,11,24,18,"PAC000004",1,0,"committee:referred",0,3,2,1
"216","HB-2337-2009-2010","Democratic","2009-2010",10,6,4,23,"PAC000012",3,0,"committee:referred",0,0,0,0
"217","HB-820-2009-2010","Republican","2009-2010",55,12,43,38,"PAC000017",2,0,"committee:referred",0,4,4,0
"218","HB-1919-2009-2010","Republican","2009-2010",15,4,11,20,"PAC000004",1,0,"committee:referred",0,1,1,0
"219","HB-1635-2009-2010","Republican","2009-2010",62,1,61,60,"PAC000012",2,0,"committee:referred",0,4,4,0
"220","HB-1736-2009-2010","Republican","2009-2010",11,2,9,27,"PAC000129",3,1,"bill:passed",0,3,2,1
"221","HB-1050-2009-2010","Republican","2009-2010",47,5,42,54,"PAC000010",4,0,"committee:referred",0,7,6,1
"222","HB-1016-2009-2010","Republican","2009-2010",42,5,37,27,"",2,0,"committee:referred",0,0,0,0
"223","HB-1040-2009-2010","Republican","2009-2010",49,6,43,32,"PAC000015",1,0,"committee:referred",0,7,7,0
"224","HB-1698-2009-2010","Democratic","2009-2010",0,0,0,18,"PAC000008",5,0,"bill:reading:2",0,0,0,0
"225","HB-613-2009-2010","Democratic","2009-2010",27,18,9,47,"PAC000015",2,0,"committee:referred",0,1,1,0
